title;heading;content;tokens
Roberta Blazer;JACKET;Sophisticated and sultry? It has to be the Roberta. In classic navy, this oh-so-elegant jacket perfectly balances louche with pulled together. Flared sleeves, draped lapels and a cinching waist tie are signature R&B notes. Pair with the coordinating trousers for modern elegance, or, if you dare, size up and wear as a micro mini... Padded shoulders Wrap style waist fastening Flared cuff Fitted waist 58% Cupro 42% Rayon;150
Fiorella Dress;Dresses;Exude modern drama in the Fiorella. Nostalgic edge meets Latin flair in this knockout style. In this season's abstract blue floral, with a deep V neck, button front and figure-skimming cut, she's made for impact. Extreme frill cuffs add a feminine note. Add polished gold jewels and take the spotlight. Button front fastening Low V neckline Slim sleeves with extreme frill cuff Semi sheer Floral print Maxi length Our Dresses are designed long to suit all heights and can be shortened as required. 100% Viscose;150
Gemini Blouse;TOPS;Be seduced by the Gemini. Semi-sheer, this sultry style is cut to a wraparound silhouette, with long ties to style numerous ways. Flared sleeve cuffs and this season's bold abstract poppy print add feminine notes to this power piece. Style with the coordinating Roma trousers for top to toe colour, or mix and match. Semi sheer Exaggerated long length ties (long length, can be tied numerous ways) Pair with matching Roma Trouser 100% Viscose;150
Gia Blouse;TOPS;Androgynous lines, feminine power, meet the Gia. In classic black, this power blouse is semi-sheer with flared sleeves and exaggerated ties which deliver multiple ways to wear. Channel retro glamour with polished gold jewels, wide leg trousers and over-sized sunglasses. Semi sheer Exaggerated long length ties (long length, can be tied numerous ways) 100% Viscose;150
Zaelia Trousers;TROUSERS;Take a walk on the wild side with Zaelia. Printed in striking zebra, these slinky trousers sit just below the waist and are cut to a relaxed silhouette. Perfect for pairing with our Zephyr blouse for maximum monochrome impact, or with the sleek Gia. We add undone hair and bold lips. Zebra Print Semi sheer Elasticated waistband 100% Viscose;150
Roma Trousers;TROUSERS;A bold-print and statement colour, the Roma trousers are designed for impact. Cut to this season's signature - a relaxed silhouette and fitted waist, pair them with the coordinating Gemini for top-to-toe style, or opt for the Gia and let the print take centre stage. We love this pair for day chic or evening elegance. Abstract floral print Semi sheer Elasticated waistband 100% Viscose;150
Rafinha Dress;Dresses;Sultry and sophisticated, this printed, figure-skimming piece is Rafinha. Cut on the bias to a cult Rat & Boa silhouette - our timeless maxi slip - this style features our signature cowl next, scooped back and barely there straps. Slip into her with gold jewels and tousled hair. Cross back detail Cowl front and back Adjustable straps Thigh slit Semi sheer 100% Viscose;150
Clementine Jumpsuit;JUMPSUITS;Style up a Studio 54 mood in the sophisticated Clementine. With a sleek v-neck and signature balloon sleeves, this vintage-inspired cut cinches as the waist with a knot front, then skims your curves, tapering to a glamorous flared silhouette. Add tousled hair and a basket tote by day, or red lips and towering heels by night. Balloon sleeve Elasticated cuff and waistband Flared trouser leg Knot front tie fastening Stretch jersey fabric 95% Viscose 5% Spandex;150
Santi Dress;Dresses;Santi's our cool classic with a hint of vintage glamour. In deepest navy, our signature notes - cowl neck, super low back, figure skimming, floor-sweeping silhouette - take on a sophisticated edge. The twist on the 90s favourite slip? Exaggerated straps which tie multiple ways for eclectic styling. We wear ours with leopard print, a bold lip and 70s style chunky platforms. Navy cupro Maxi length Cowl front Exaggerated tie fastenings 45% Cupro 55% Rayon;150
Coralina Dress;Dresses;Head into the blue with Coralina. Following the classic lines of an R&B slip - cowl neckline, scooped back, figure skimming silhouette, barely there straps, this season's Coralina has a twist - halterneck extra long ties, with multiple styling options. Tousled hair and minimal accessories let the blue flower print take the spotlight. Semi sheer Floral prints Maxi length Cowl front Exaggerated tie fastenings Our Dresses are designed long to suit all heights and can be shortened as required 100% Viscose;150
Harlequin Dress Green;Dresses;Exaggerated balloon sleeves and a button front - Harlequin is signature R&B. In our deep green palm jacquard, this mini is a dream golden hour dress - hypnotic colour, sultry style and a sprinkling of magic. The waist tie and button front add louche ease and multiple styling choices. We wear ours with tousled hair and statement earrings. Button front Cuff detail Separate belt in same fabric Can be worn as a tunic Palm jacquard print Also available in orange Viscose fabric;150
Harlequin Dress Orange;Dresses;Exaggerated balloon sleeves, a button-front and an effortless air - Harlequin is signature R&B. In our deep orange palm jacquard, this mini is a dream golden hour dress - hypnotic colour, sultry style and a sprinkling of magic. The waist tie and button front add louche ease and multiple styling choices. Style with gold jewellery, tousled hair and remember that attitude is everything. Button Front Cuff detail Exaggerated sleeve Separate belt in same fabric Can be worn as a tunic Palm jacquard print Also available in green Viscose fabric;150
Serena Skirt Green;BOTTOMS;Stripped back, sensuous and hip-skimming: meet Serena. Cut to a fluid silhouette in parrot green satin - the perfect shade to enhance your sun-kissed glow - the Serena debuts our signature cowl, in a skirt. Thigh high slits and a sleek waist tie add drama with a hint of daring. Pair with the co-ordinating halterneck and add chunky platforms for a flawless 90s mood. Parrot green colour High side slits Drop cowl at back Waist tie Polyester Satin;150
Carlotta Cocoa;BOTTOMS;Stripped back, sensuous and hip-skimming: meet Carlotta. Cut to a fluid silhouette in deepest chocolate satin - the perfect shade to enhance your sun-kissed glow - the Carlotta is our truly modern take on the classic slip skirt. Pair with the co-ordinating Portia top to add daring and drama and finish with chunky platforms for a flawless 90s mood. Ankle grazer Side zip fastening Chocolate colour Acetate fabric;150
Alanis Dress;Dresses;The shirt dress, R&B style... We've taken the classic button-down silhouette, cut it in sleek emerald satin and remixed with a wrap mini skirt, waist tie and oversized cuffs. The result? Ease, elegance and understated glamour. Wear unbuttoned as low as you dare and style with sleek fresh-from-the-sea hair and layers of gold necklaces. Button front detail Wrap front Emerald satin Point collar Polyester Satin;150
Donyale Dress;Dresses;When the sun goes down, dial up the drama in the Donyale. In timeless black satin, this irresistibly captivating dress will make the impact you deserve. With a deep cowl, scoop back and tie halterneck straps, the sultry silhouette delivers hypnotic nighttime style. Elevate the floor-skimming silhouette with smokey eyes and gold jewels and get ready for all eyes to be on you. Deep front cowl Maxi length with wide hem Backless Self tie halter fastening Viscose fabric;150
Celine Shirt;TOPS;Get involved with the irresistble subtle shimmer of Celine. Sleek style with more than a hint of throwback glamour, our all-over sequin shirt is cut to a classic button down silhoutte, with a pointed collar and exagerated cuffs. Channel your inner supermodel and use it as the perfect beachside cover-up - those sequins are made for the sunlight to hit them - or pair with wide leg trousers and heels when you're heading out after dark. Nude sequin shirt Button front;150
Valetta Dress;Dresses;Daring with twist of lime? Fall for vivacious Valetta. A classic mini slip dress given a bold remix courtesy of a deep V-neck, scooped back and barely-there straps. And, for added impact, it's adorned all over with just enough beading to make you really shine on the dancefloor. Pair with sandals and a chic straw hat for an understated look day-to-day, or add chunky platforms and dark lips to really emphasise its evening glamour. As this style is a little dare-to-bare, we suggest fixing in place with fashion tape. V neck mini Zip fastening at back Lining Beaded detail Adjustable straps;150
Aria Headscarf Black;Accessories;The wear-anywhere accessory you’ll slip on all summer long: meet Aria. Covered in understated black sequins, Rat & Boa’s first headscarf is designed to keep your beach hair in check in the most glamorous way possible. But, because it’s always good to be able to keep your options open, with a bit of clever knotting it can double up as a barely-there, 90s-inspired handkerchief top. Pair with your favourite stand-out swimwear by day and add oversized hoops and smokey eyes when the sun goes down.;150
Carlotta Blue;BOTTOMS;Stripped back, sensuous and hip-skimming: meet Carlotta. Cut to a fluid silhouette in rich blue satin - the perfect shade to enhance your sun-kissed glow - the Carlotta is our truly modern take on the classic slip skirt. Pair with the co-ordinating Portia top to add daring and drama and finish with chunky platforms for a flawless 90s mood. Ankle grazer Side zip fastening Rich satin blue Acetate fabric;150
Bahia Bikini Pant;Bikini;The spirit of summer brought to life: meet Bahia. A classic, wear-forever string shape whipped up in a playful, colourful print in warm, sunset-inspired shades, Bahia is your go-to whether you're on an island hopping adventure or sipping cocktails poolside. Layer with gold jewellery and wear with our co-ordinating sarong for maximum impact. Tanning Bikini Pant with exaggerated side tie Matching sarong Main Fabric 82% polyester 8% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Amina Bikini Pant;Bikini;Feminine and flawless with forever appeal, it's Amina. A beautifully flattering and irresistibly comfortable shape, the Amina bikini bottoms are conjured from a vibrant abstract floral print and trimmed with black lace. The perfect blend of sophisticated and sexy they're just the thing to see you through long hot days that stretch into steamy nights. Pair with her co-ordinating bikini top or mix and match with classic black separates. Lace trim detail floral print with black base Tie side fastening on pant Adjustable bra sliders Back snap fastening Main Fabric 86% polyester 14% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Gianna Bikini Pant;Bikini;Get ready to soak up the sun in style in Gianna. Flawless and flattering, Gianna is a classic string-tie shape whipped up in a quietly vibrant butterfly print that's made for sultry days and a seductive vibe. Wear as a set or mix and match with one of our other sun-fuelled prints. Butterfly print Tanning bikini Side tie fastening on pant Main Fabric 82% polyester 8% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Ribeiro Bikini Pant;Bikini;Make waves all summer long in Ribeiro. Fun, flirty and conjured in a psychedelic butterfly print, the Ribeiro bikini bottoms are designed to set you apart in style. A classic side-tie shape with summer-ready shell detailing, they're a tropical dream, perfect for paradise. Pair with the co-ordinating bikini top and a sun-kissed glow. Psychedelic butterfly print Removable straps Shell details Main Fabric 82% polyester 18% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Rafeli Bikini Pant Black;Bikini;A vintage-inspired shape cut to give a little extra coverage, the Rafeli bikini bottoms in black are an irresistibly flattering, wear-forever classic. Pair with the co-ordinating bikini top and they'll be guaranteed to instil movie star sophistication the moment you slip them on. Make them pop by styling them with one of our beautifully printed sarongs. Full pant with ruched detail Main Fabric 80% polyester 20% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Rafeli Bikini Pant Emerald;Bikini;A vintage-inspired shape cut to give a little extra coverage, the Rafeli bikini bottoms in emerald are an irresistibly flattering, wear-forever classic. Pair with the co-ordinating bikini top and they'll be guaranteed to instill movie star sophistication the moment you slip them on. Make them pop by styling them with one of our beautifully printed sarongs. Main Fabric 80% polyester 20% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Isabeli Bikini Pant;Bikini;An endless summer in bloom... meet Isabeli. Flawless and flattering, the Isabeli bikini bottoms are a classic string-tie shape whipped up in a bold and vibrant poppy print that radiates heat and is made for sultry days and a seductive vibe. Wear with the matching top - and add the co-ordinating sarong for the maximum poolside impact - or mix and match with one of our other sun-fuelled prints. Main Fabric 82% polyester 8% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Baiana Sarong;Cover Ups;Swathe yourself in a kaleidoscope of colour with Baiana. A slinky satin scarf printed with a psychedelic butterfly print, Baiana is as versatile as she is beautiful. Wear her as a wrap skirt or dress to cover up on the beach or wrap her into a top or scarf as you head for the bar - her possibilities are as endless as your imagination. Pair her with the co-ordinating Gianna bikini or use her to make block colours really pop.;150
Amelie Bikini Pant;Bikini;Vibrant and vivacious, meet Amelie. Fun, flirty and conjured in a vibrant abstract print, the Amelie bikini bottoms are designed to set you apart in style. A classic side-tie shape with summer-ready shell detailing, they're a tropical dream, perfect for paradise. Pair with the co-ordinating bikini top and a sun-kissed glow. Main Fabric 82% polyester 18% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Minka Pant;Bikini;A fashion classic with added flair, meet Minka. These ultra-flattering bikini bottoms are ruched with an exaggerated emerald side tie that you can knot or bow your way. Whipped up in a playful, abstract print in warm, tropical shades, Bahia is your go-to whether you're on an island hopping adventure or tanning in the tropics. Mix with clashing prints in unexpected combinations or keep things simple by pairing with a block-colour bikini top in black or emerald. Main Fabric 82% polyester 18% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Bahia Bikini Top;Bikini;The spirit of summer brought to life: meet Bahia. A classic, wear-forever string shape whipped up in a playful, colourful print in warm, sunset-inspired shades, Bahia is your go-to whether you're on an island hopping adventure or sipping cocktails poolside. Layer with gold jewellery and wear with our co-ordinating sarong for maximum impact. Tanning bikini Pant with exaggerated side tie Matching sarong Main Fabric 82% polyester 8% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Amina Bikini Top;Bikini;Feminine and flawless with forever appeal, it's Amina. A beautifully flattering and irresistibly comfortable shape, the Amina bikini top has adjustable straps and a back snap fastening. Conjured from a vibrant abstract floral print and trimmed with black lace, it's the perfect blend of sophisticated and sexy and just the thing to see you through long hot days that stretch into steamy nights. Show her off poolside then throw an unbuttoned-low shirt over top to allow daring glimpses as you head for the bar. Lace trim detail floral print with black base Tie side fastening on pant Adjustable bra sliders Back snap fastening Main Fabric 86% polyester 14% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Gianna Bikini Top;Bikini;Get ready to soak up the sun in style in Gianna. Flawless and flattering, Gianna is a classic string-tie shape whipped up in a quietly vibrant butterfly print that's made for sultry days and a seductive vibe. Wear as a set or mix and match with one of our other sun-fuelled prints. Butterfly print Tanning bikini Side tie fastening on pant Main Fabric 82% polyester 8% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Ribeiro Bikini Top;Bikini;Make waves all summer long in Ribeiro. A fun, flirty shape conjured in a psychedelic butterfly print, Ribeiro is designed to set you apart in style. With removable straps, a ruched keyhole and summer-ready shell detailing, it's a tropical dream, perfect for paradise. Wear as a bandeau with sun-kissed shoulders and layers of gold necklaces. Psychedelic butterfly print Shell details Main Fabric 82% polyester 18% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Rafeli Bikini Top Black;Bikini;A vintage-inspired shape, cut to give a little extra coverage, the Rafeli bikini top in black is an irresistibly flattering, wear-forever classic guaranteed to instil movie star sophistication the moment you slip it on. Wear it with the co-ordinating bottoms and make it pop by pairing it with one of our beautifully printed sarongs. Vintage-inspired cupped style Detachable straps Full pant with ruched detail Main Fabric 80% polyester 20% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Rafeli Bikini Top Emerald;Bikini;A vintage-inspired shape, cut to give a little extra coverage, the Rafeli bikini top in black is an irresistibly flattering, wear-forever classic guaranteed to instill movie star sophistication the moment you slip it on. Wear it with the co-ordinating bottoms and make it pop by pairing it with one of our beautifully printed sarongs. Vintage-inspired cupped style Detachable straps Full pant with ruched detail Main Fabric 80% polyester 20% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Isabeli Bikini Top;Bikini;An endless summer in bloom...meet Isabeli. Flawless and flattering, Isabeli is a classic string-tie bikini top whipped up in a bold and vibrant poppy print that radiates heat and is made for sultry days and a seductive vibe. Wear with matching bottoms - and add the co-ordinating sarong for the maximum poolside impact - or mix and match with one of our other sun-fuelled prints. Main Fabric 82% polyester 8% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Amelie Bikini Top;Bikini;Vibrant and vivacious, meet Amelie. A fun, flirty shape conjured in a vibrant abstract print, Amelie is designed to set you apart in style. With removable straps, a ruched keyhole and summer-ready shell detailing, it's a tropical dream, perfect for paradise. Wear as a bandeau with sun-kissed shoulders and layers of gold necklaces. Main Fabric 82% polyester 18% elastane Lining 82% polyamide 18% elastane Made in Italy;150
Cypress Shirt;TOPS;Bold, bohemian and beautiful... it's Cypress. A signature, semi-sheer Rat & Boa shape remixed in dip-dyed green, Cypress is a dreamy mix of fluted sleeves, fiercely feminine spirit and wrap-around ties just waiting to be worn your way. Style with your most-loved summer separates, hooped earrings and a carefree vibe. Semi sheer Dip dye print Exaggerated long length ties (can be tied numerous ways) 100% Viscose;150
Cypress Skirt;BOTTOMS;Bold, bohemian and beautiful....it's Cypress. A slinky, floor-sweeping maxi skirt in dip-dyed green, Cypress is a classic nineties shape remixed with a daring cowl back. Style with your most-loved summer separates, hooped earrings and a carefree vibe. Dip dye print High side slits Drop cowl at back Waist tie Polyester Satin;150
Anastasia Dress;Dresses;Simple and seductive...meet Anastasia. The classic slip but not as you know it. Conjured in show-stopping pink with a plunging neckline and split skirt, Anastasia is streamlined, sensual and made for sunset-infused nights. Wear with swept-up hair, gold jewellery and heels high enough to make the most of her long-lean silhouette. Low V front neckline Side slit Strap adjusters Polyester Satin;150
Cocoa Dress;Dresses;Simple and seductive...meet Cocoa. The classic slip but not as you know it. Crafted in a slinky satin, in a rich chocolate shade with a plunging neckline and split skirt, Cocoa is streamlined, sensual and made for sunset-infused nights. Wear with swept-up hair, gold jewellery and heels high enough to make the most of her long-lean silhouette. Low V front neckline Side slit Adjustable straps;150
Vittoria Skirt;BOTTOMS;A wear-forever, wrap-around maxi with knotted detailing, reach for the Vittoria skirt when you want to radiate flawless sophistication with irresistibly seductive undertones. Style with our co-ordinating Onyx top, perfectly mussed hair and sandals to really make an impact.;150
Sorella Skirt;BOTTOMS;Vibrant, vivacious and endlessly versatile...it's Sorella. A gently ruched and cleverly knotted mini skirt conjured from floral-printed jersey, Sorella is as at home thrown over your bikini on the beach as she is worn with an elevated blouse after dark. Style her with whatever you feel like wearing...you won't want to take her off. Knot front detail Back zip fastening Asymmetric hem;150
Oriana Skirt;BOTTOMS;A dream in tangerine, wrap yourself up in Oriana. An effortlessly stylish and irresistibly simple knotted skirt, Oriana is the stand-out beach bag essential you'll be reaching for all summer long. Wear as a striking cover-up over swimwear or pair with our Zeta top to really turn heads. Side fastening Side slit Pair with Zeta Top in Orange;150
Fabiana Dress;Dresses;Fiercely feminine and a little bit wild, get up close and personal with Fabiana. A more-is-more maxi dress conjured in semi-sheer viscose, Fabiana's delicate frills and ethereal cuffs are offset by her striking leopard print. Wear with bare feet or heels, layers of gold jewellery and be ready for anything. Frill detail Detachable waist tie Hook & eye fastening at front Semi sheer 100% Viscose;150
