title;heading;content;tokens
Roberta Blazer;JACKET;Sophisticated and sultry? It has to be the Roberta. In classic navy, this oh-so-elegant jacket perfectly balances louche with pulled together. Flared sleeves, draped lapels and a cinching waist tie are signature R&B notes. Pair with the coordinating trousers for modern elegance, or, if you dare, size up and wear as a micro mini... Padded shoulders Wrap style waist fastening Flared cuff Fitted waist 58% Cupro 42% Rayon;150
Fiorella Dress;Dresses;Exude modern drama in the Fiorella. Nostalgic edge meets Latin flair in this knockout style. In this season's abstract blue floral, with a deep V neck, button front and figure-skimming cut, she's made for impact. Extreme frill cuffs add a feminine note. Add polished gold jewels and take the spotlight. Button front fastening Low V neckline Slim sleeves with extreme frill cuff Semi sheer Floral print Maxi length Our Dresses are designed long to suit all heights and can be shortened as required. 100% Viscose;150
Gemini Blouse;TOPS;Be seduced by the Gemini. Semi-sheer, this sultry style is cut to a wraparound silhouette, with long ties to style numerous ways. Flared sleeve cuffs and this season's bold abstract poppy print add feminine notes to this power piece. Style with the coordinating Roma trousers for top to toe colour, or mix and match. Semi sheer Exaggerated long length ties (long length, can be tied numerous ways) Pair with matching Roma Trouser 100% Viscose;150
Gia Blouse;TOPS;Androgynous lines, feminine power, meet the Gia. In classic black, this power blouse is semi-sheer with flared sleeves and exaggerated ties which deliver multiple ways to wear. Channel retro glamour with polished gold jewels, wide leg trousers and over-sized sunglasses. Semi sheer Exaggerated long length ties (long length, can be tied numerous ways) 100% Viscose;150
Zaelia Trousers;TROUSERS;Take a walk on the wild side with Zaelia. Printed in striking zebra, these slinky trousers sit just below the waist and are cut to a relaxed silhouette. Perfect for pairing with our Zephyr blouse for maximum monochrome impact, or with the sleek Gia. We add undone hair and bold lips. Zebra Print Semi sheer Elasticated waistband 100% Viscose;150
Roma Trousers;TROUSERS;A bold-print and statement colour, the Roma trousers are designed for impact. Cut to this season's signature - a relaxed silhouette and fitted waist, pair them with the coordinating Gemini for top-to-toe style, or opt for the Gia and let the print take centre stage. We love this pair for day chic or evening elegance. Abstract floral print Semi sheer Elasticated waistband 100% Viscose;150
Rafinha Dress;Dresses;Sultry and sophisticated, this printed, figure-skimming piece is Rafinha. Cut on the bias to a cult Rat & Boa silhouette - our timeless maxi slip - this style features our signature cowl next, scooped back and barely there straps. Slip into her with gold jewels and tousled hair. Cross back detail Cowl front and back Adjustable straps Thigh slit Semi sheer 100% Viscose;150
Clementine Jumpsuit;JUMPSUITS;Style up a Studio 54 mood in the sophisticated Clementine. With a sleek v-neck and signature balloon sleeves, this vintage-inspired cut cinches as the waist with a knot front, then skims your curves, tapering to a glamorous flared silhouette. Add tousled hair and a basket tote by day, or red lips and towering heels by night. Balloon sleeve Elasticated cuff and waistband Flared trouser leg Knot front tie fastening Stretch jersey fabric 95% Viscose 5% Spandex;150
Santi Dress;Dresses;Santi's our cool classic with a hint of vintage glamour. In deepest navy, our signature notes - cowl neck, super low back, figure skimming, floor-sweeping silhouette - take on a sophisticated edge. The twist on the 90s favourite slip? Exaggerated straps which tie multiple ways for eclectic styling. We wear ours with leopard print, a bold lip and 70s style chunky platforms. Navy cupro Maxi length Cowl front Exaggerated tie fastenings 45% Cupro 55% Rayon;150
Coralina Dress;Dresses;Head into the blue with Coralina. Following the classic lines of an R&B slip - cowl neckline, scooped back, figure skimming silhouette, barely there straps, this season's Coralina has a twist - halterneck extra long ties, with multiple styling options. Tousled hair and minimal accessories let the blue flower print take the spotlight. Semi sheer Floral prints Maxi length Cowl front Exaggerated tie fastenings Our Dresses are designed long to suit all heights and can be shortened as required 100% Viscose;150
Harlequin Dress Green;Dresses;Exaggerated balloon sleeves and a button front - Harlequin is signature R&B. In our deep green palm jacquard, this mini is a dream golden hour dress - hypnotic colour, sultry style and a sprinkling of magic. The waist tie and button front add louche ease and multiple styling choices. We wear ours with tousled hair and statement earrings. Button front Cuff detail Separate belt in same fabric Can be worn as a tunic Palm jacquard print Also available in orange Viscose fabric;150
